episode,reward,avg_reward
0.0,0.0,0.0
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
4.0,0.0,0.0
5.0,1.0,0.16666666666666666
6.0,0.0,0.14285714285714285
7.0,0.0,0.125
8.0,0.0,0.1111111111111111
9.0,0.0,0.1
10.0,0.0,0.09090909090909091
11.0,0.0,0.08333333333333333
12.0,0.0,0.07692307692307693
13.0,0.0,0.07142857142857142
14.0,1.0,0.13333333333333333
15.0,1.0,0.1875
16.0,1.0,0.23529411764705882
17.0,1.0,0.2777777777777778
18.0,1.0,0.3157894736842105
19.0,1.0,0.35
20.0,1.0,0.38095238095238093
21.0,1.0,0.4090909090909091
22.0,1.0,0.43478260869565216
23.0,1.0,0.4583333333333333
24.0,1.0,0.48
25.0,1.0,0.5
26.0,1.0,0.5185185185185185
27.0,1.0,0.5357142857142857
28.0,1.0,0.5517241379310345
29.0,1.0,0.5666666666666667
30.0,1.0,0.5806451612903226
31.0,1.0,0.59375
32.0,1.0,0.6060606060606061
33.0,1.0,0.6176470588235294
34.0,1.0,0.6285714285714286
35.0,1.0,0.6388888888888888
36.0,1.0,0.6486486486486487
37.0,1.0,0.6578947368421053
38.0,1.0,0.6666666666666666
39.0,1.0,0.675
40.0,1.0,0.6829268292682927
41.0,1.0,0.6904761904761905
42.0,1.0,0.6976744186046512
43.0,1.0,0.7045454545454546
44.0,1.0,0.7111111111111111
45.0,1.0,0.717391304347826
46.0,1.0,0.723404255319149
47.0,1.0,0.7291666666666666
48.0,1.0,0.7346938775510204
49.0,1.0,0.74
50.0,1.0,0.7450980392156863
51.0,1.0,0.75
52.0,1.0,0.7547169811320755
53.0,1.0,0.7592592592592593
54.0,1.0,0.7636363636363637
55.0,1.0,0.7678571428571429
56.0,1.0,0.7719298245614035
57.0,1.0,0.7758620689655172
58.0,1.0,0.7796610169491526
59.0,1.0,0.7833333333333333
60.0,1.0,0.7868852459016393
61.0,1.0,0.7903225806451613
62.0,1.0,0.7936507936507936
63.0,1.0,0.796875
64.0,1.0,0.8
65.0,1.0,0.803030303030303
66.0,1.0,0.8059701492537313
67.0,1.0,0.8088235294117647
68.0,1.0,0.8115942028985508
69.0,1.0,0.8142857142857143
70.0,1.0,0.8169014084507042
71.0,1.0,0.8194444444444444
72.0,1.0,0.821917808219178
73.0,1.0,0.8243243243243243
74.0,1.0,0.8266666666666667
75.0,1.0,0.8289473684210527
76.0,1.0,0.8311688311688312
77.0,1.0,0.8333333333333334
78.0,1.0,0.8354430379746836
79.0,1.0,0.8375
80.0,1.0,0.8395061728395061
81.0,1.0,0.8414634146341463
82.0,1.0,0.8433734939759037
83.0,1.0,0.8452380952380952
84.0,1.0,0.8470588235294118
85.0,1.0,0.8488372093023255
86.0,1.0,0.8505747126436781
87.0,1.0,0.8522727272727273
88.0,1.0,0.8539325842696629
89.0,1.0,0.8555555555555555
90.0,1.0,0.8571428571428571
91.0,1.0,0.8586956521739131
92.0,1.0,0.8602150537634409
93.0,1.0,0.8617021276595744
94.0,1.0,0.8631578947368421
95.0,1.0,0.8645833333333334
96.0,1.0,0.865979381443299
97.0,1.0,0.8673469387755102
98.0,1.0,0.8686868686868687
99.0,1.0,0.87
100.0,1.0,0.88
101.0,1.0,0.89
102.0,1.0,0.9
103.0,1.0,0.91
104.0,1.0,0.92
105.0,1.0,0.92
106.0,1.0,0.93
107.0,1.0,0.94
108.0,1.0,0.95
109.0,1.0,0.96
110.0,1.0,0.97
111.0,1.0,0.98
112.0,1.0,0.99
113.0,1.0,1.0
114.0,1.0,1.0
115.0,1.0,1.0
116.0,1.0,1.0
117.0,1.0,1.0
118.0,1.0,1.0
119.0,1.0,1.0
120.0,1.0,1.0
121.0,1.0,1.0
122.0,1.0,1.0
123.0,1.0,1.0
124.0,1.0,1.0
125.0,1.0,1.0
126.0,1.0,1.0
127.0,1.0,1.0
128.0,1.0,1.0
129.0,1.0,1.0
130.0,1.0,1.0
131.0,1.0,1.0
132.0,1.0,1.0
133.0,1.0,1.0
134.0,1.0,1.0
135.0,1.0,1.0
136.0,1.0,1.0
137.0,1.0,1.0
138.0,1.0,1.0
139.0,1.0,1.0
140.0,1.0,1.0
141.0,1.0,1.0
142.0,1.0,1.0
143.0,1.0,1.0
144.0,1.0,1.0
145.0,1.0,1.0
146.0,1.0,1.0
147.0,1.0,1.0
148.0,1.0,1.0
149.0,1.0,1.0
150.0,1.0,1.0
151.0,1.0,1.0
152.0,1.0,1.0
153.0,1.0,1.0
154.0,1.0,1.0
155.0,1.0,1.0
156.0,1.0,1.0
157.0,1.0,1.0
158.0,1.0,1.0
159.0,1.0,1.0
160.0,1.0,1.0
161.0,1.0,1.0
162.0,1.0,1.0
163.0,1.0,1.0
164.0,1.0,1.0
165.0,1.0,1.0
166.0,1.0,1.0
167.0,1.0,1.0
168.0,1.0,1.0
169.0,1.0,1.0
170.0,1.0,1.0
171.0,1.0,1.0
172.0,1.0,1.0
173.0,1.0,1.0
174.0,1.0,1.0
175.0,1.0,1.0
176.0,1.0,1.0
177.0,1.0,1.0
178.0,1.0,1.0
179.0,1.0,1.0
180.0,1.0,1.0
