episode,reward,avg_reward
0.0,0.0,0.0
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
4.0,0.0,0.0
5.0,0.0,0.0
6.0,0.0,0.0
7.0,0.0,0.0
8.0,0.0,0.0
9.0,0.0,0.0
10.0,0.0,0.0
11.0,0.0,0.0
12.0,0.0,0.0
13.0,0.0,0.0
14.0,0.0,0.0
15.0,0.0,0.0
16.0,0.0,0.0
17.0,0.0,0.0
18.0,0.0,0.0
19.0,0.0,0.0
20.0,0.0,0.0
21.0,0.0,0.0
22.0,0.0,0.0
23.0,0.0,0.0
24.0,0.0,0.0
25.0,0.0,0.0
26.0,0.0,0.0
27.0,0.0,0.0
28.0,0.0,0.0
29.0,0.0,0.0
30.0,0.0,0.0
31.0,0.0,0.0
32.0,0.0,0.0
33.0,0.0,0.0
34.0,0.0,0.0
35.0,0.0,0.0
36.0,0.0,0.0
37.0,0.0,0.0
38.0,0.0,0.0
39.0,0.0,0.0
40.0,0.0,0.0
41.0,0.0,0.0
42.0,0.0,0.0
43.0,0.0,0.0
44.0,0.0,0.0
45.0,0.0,0.0
46.0,0.0,0.0
47.0,0.0,0.0
48.0,0.0,0.0
49.0,0.0,0.0
50.0,0.0,0.0
51.0,0.0,0.0
52.0,0.0,0.0
53.0,0.0,0.0
54.0,0.0,0.0
55.0,0.0,0.0
56.0,0.0,0.0
57.0,0.0,0.0
58.0,0.0,0.0
59.0,0.0,0.0
60.0,0.0,0.0
61.0,0.0,0.0
62.0,0.0,0.0
63.0,0.0,0.0
64.0,0.0,0.0
65.0,0.0,0.0
66.0,0.0,0.0
67.0,0.0,0.0
68.0,0.0,0.0
69.0,0.0,0.0
70.0,0.0,0.0
71.0,0.0,0.0
72.0,0.0,0.0
73.0,0.0,0.0
74.0,0.0,0.0
75.0,0.0,0.0
76.0,0.0,0.0
77.0,0.0,0.0
78.0,0.0,0.0
79.0,0.0,0.0
80.0,0.0,0.0
81.0,0.0,0.0
82.0,0.0,0.0
83.0,0.0,0.0
84.0,0.0,0.0
85.0,0.0,0.0
86.0,0.0,0.0
87.0,0.0,0.0
88.0,0.0,0.0
89.0,0.0,0.0
90.0,0.0,0.0
91.0,0.0,0.0
92.0,0.0,0.0
93.0,0.0,0.0
94.0,0.0,0.0
95.0,0.0,0.0
96.0,0.0,0.0
97.0,0.0,0.0
98.0,0.0,0.0
99.0,0.0,0.0
100.0,0.0,0.0
101.0,0.0,0.0
102.0,0.0,0.0
103.0,0.0,0.0
104.0,0.0,0.0
105.0,0.0,0.0
106.0,0.0,0.0
107.0,0.0,0.0
108.0,0.0,0.0
109.0,0.0,0.0
110.0,0.0,0.0
111.0,0.0,0.0
112.0,0.0,0.0
113.0,0.0,0.0
114.0,0.0,0.0
115.0,0.0,0.0
116.0,0.0,0.0
117.0,0.0,0.0
118.0,0.0,0.0
119.0,0.0,0.0
120.0,0.0,0.0
121.0,0.0,0.0
122.0,0.0,0.0
123.0,0.0,0.0
124.0,0.0,0.0
125.0,0.0,0.0
126.0,0.0,0.0
127.0,0.0,0.0
128.0,0.0,0.0
129.0,0.0,0.0
130.0,0.0,0.0
131.0,0.0,0.0
132.0,0.0,0.0
133.0,0.0,0.0
134.0,0.0,0.0
135.0,0.0,0.0
136.0,0.0,0.0
137.0,0.0,0.0
138.0,0.0,0.0
139.0,0.0,0.0
140.0,0.0,0.0
141.0,0.0,0.0
142.0,0.0,0.0
143.0,0.0,0.0
144.0,0.0,0.0
145.0,0.0,0.0
146.0,0.0,0.0
147.0,0.0,0.0
148.0,0.0,0.0
149.0,0.0,0.0
150.0,0.0,0.0
151.0,0.0,0.0
152.0,0.0,0.0
153.0,0.0,0.0
154.0,0.0,0.0
155.0,0.0,0.0
156.0,0.0,0.0
157.0,0.0,0.0
158.0,0.0,0.0
159.0,0.0,0.0
160.0,0.0,0.0
161.0,0.0,0.0
162.0,0.0,0.0
163.0,0.0,0.0
164.0,0.0,0.0
165.0,0.0,0.0
166.0,0.0,0.0
167.0,0.0,0.0
168.0,0.0,0.0
169.0,0.0,0.0
170.0,0.0,0.0
171.0,0.0,0.0
172.0,0.0,0.0
173.0,0.0,0.0
174.0,0.0,0.0
175.0,0.0,0.0
176.0,0.0,0.0
177.0,0.0,0.0
178.0,0.0,0.0
179.0,0.0,0.0
180.0,0.0,0.0
181.0,0.0,0.0
182.0,0.0,0.0
183.0,1.0,0.01
184.0,0.0,0.01
185.0,0.0,0.01
186.0,0.0,0.01
187.0,0.0,0.01
188.0,0.0,0.01
189.0,0.0,0.01
190.0,0.0,0.01
191.0,0.0,0.01
192.0,0.0,0.01
193.0,0.0,0.01
194.0,0.0,0.01
195.0,0.0,0.01
196.0,0.0,0.01
197.0,0.0,0.01
198.0,0.0,0.01
199.0,0.0,0.01
200.0,0.0,0.01
201.0,0.0,0.01
202.0,0.0,0.01
203.0,0.0,0.01
204.0,0.0,0.01
205.0,0.0,0.01
206.0,0.0,0.01
207.0,0.0,0.01
208.0,0.0,0.01
209.0,0.0,0.01
210.0,0.0,0.01
211.0,0.0,0.01
212.0,0.0,0.01
213.0,0.0,0.01
214.0,0.0,0.01
215.0,0.0,0.01
216.0,0.0,0.01
217.0,0.0,0.01
218.0,0.0,0.01
219.0,0.0,0.01
220.0,0.0,0.01
221.0,0.0,0.01
222.0,0.0,0.01
223.0,0.0,0.01
224.0,0.0,0.01
225.0,0.0,0.01
226.0,0.0,0.01
227.0,0.0,0.01
228.0,0.0,0.01
229.0,0.0,0.01
230.0,0.0,0.01
231.0,0.0,0.01
232.0,0.0,0.01
233.0,0.0,0.01
234.0,0.0,0.01
235.0,0.0,0.01
236.0,0.0,0.01
237.0,0.0,0.01
238.0,0.0,0.01
239.0,0.0,0.01
240.0,0.0,0.01
241.0,0.0,0.01
242.0,0.0,0.01
243.0,0.0,0.01
244.0,0.0,0.01
245.0,0.0,0.01
246.0,0.0,0.01
247.0,0.0,0.01
248.0,0.0,0.01
249.0,0.0,0.01
250.0,0.0,0.01
251.0,0.0,0.01
252.0,0.0,0.01
253.0,0.0,0.01
254.0,0.0,0.01
255.0,0.0,0.01
256.0,0.0,0.01
257.0,0.0,0.01
258.0,0.0,0.01
259.0,0.0,0.01
260.0,0.0,0.01
261.0,0.0,0.01
262.0,0.0,0.01
263.0,0.0,0.01
264.0,0.0,0.01
265.0,0.0,0.01
266.0,0.0,0.01
267.0,0.0,0.01
268.0,0.0,0.01
269.0,1.0,0.02
270.0,0.0,0.02
271.0,0.0,0.02
272.0,0.0,0.02
273.0,0.0,0.02
274.0,0.0,0.02
275.0,0.0,0.02
276.0,0.0,0.02
277.0,0.0,0.02
278.0,0.0,0.02
279.0,0.0,0.02
280.0,0.0,0.02
281.0,0.0,0.02
282.0,0.0,0.02
283.0,0.0,0.01
284.0,0.0,0.01
285.0,0.0,0.01
286.0,0.0,0.01
287.0,0.0,0.01
288.0,0.0,0.01
289.0,0.0,0.01
290.0,0.0,0.01
291.0,0.0,0.01
292.0,0.0,0.01
293.0,0.0,0.01
294.0,0.0,0.01
295.0,0.0,0.01
296.0,0.0,0.01
297.0,0.0,0.01
298.0,0.0,0.01
299.0,0.0,0.01
300.0,0.0,0.01
301.0,0.0,0.01
302.0,0.0,0.01
303.0,0.0,0.01
304.0,0.0,0.01
305.0,0.0,0.01
306.0,0.0,0.01
307.0,0.0,0.01
308.0,0.0,0.01
309.0,0.0,0.01
310.0,0.0,0.01
311.0,0.0,0.01
312.0,0.0,0.01
313.0,0.0,0.01
314.0,0.0,0.01
315.0,0.0,0.01
316.0,0.0,0.01
317.0,0.0,0.01
318.0,0.0,0.01
319.0,0.0,0.01
320.0,0.0,0.01
321.0,0.0,0.01
322.0,0.0,0.01
323.0,0.0,0.01
324.0,0.0,0.01
325.0,0.0,0.01
326.0,1.0,0.02
327.0,0.0,0.02
328.0,0.0,0.02
329.0,0.0,0.02
330.0,0.0,0.02
331.0,0.0,0.02
332.0,0.0,0.02
333.0,0.0,0.02
334.0,0.0,0.02
335.0,0.0,0.02
336.0,0.0,0.02
337.0,0.0,0.02
338.0,0.0,0.02
339.0,0.0,0.02
340.0,0.0,0.02
341.0,0.0,0.02
342.0,0.0,0.02
343.0,0.0,0.02
344.0,0.0,0.02
345.0,0.0,0.02
346.0,0.0,0.02
347.0,0.0,0.02
348.0,0.0,0.02
349.0,0.0,0.02
350.0,0.0,0.02
351.0,0.0,0.02
352.0,0.0,0.02
353.0,0.0,0.02
354.0,0.0,0.02
355.0,0.0,0.02
356.0,0.0,0.02
357.0,0.0,0.02
358.0,0.0,0.02
359.0,0.0,0.02
360.0,0.0,0.02
361.0,0.0,0.02
362.0,0.0,0.02
363.0,0.0,0.02
364.0,0.0,0.02
365.0,0.0,0.02
366.0,0.0,0.02
367.0,0.0,0.02
368.0,0.0,0.02
369.0,0.0,0.01
370.0,0.0,0.01
371.0,0.0,0.01
372.0,0.0,0.01
373.0,0.0,0.01
374.0,0.0,0.01
375.0,0.0,0.01
376.0,0.0,0.01
377.0,0.0,0.01
378.0,0.0,0.01
379.0,0.0,0.01
380.0,0.0,0.01
